date,ABBV,CVX,FCX,JPM,KO,MPC,MSFT,SPY,XOM
2015-01,37.944679260253906,62.74778747558594,14.895332336425781,40.08821487426758,28.7137508392334,32.768402099609375,34.284488677978516,164.74832153320312,53.81520462036133
2015-02,38.038997650146484,65.92898559570312,19.16632652282715,45.17479705810547,30.19929313659668,37.34455490112305,37.47706604003906,174.00790405273438,54.914913177490234
2015-03,36.80665588378906,64.87837219238281,16.791582107543945,44.65876388549805,28.515995025634766,36.416282653808594,34.75068664550781,171.27496337890625,52.71931076049805
2015-04,40.99176025390625,68.63587951660156,20.676027297973633,46.94439697265625,28.52303695678711,35.05764389038086,41.5709228515625,172.95925903320312,54.18925476074219
2015-05,42.21529769897461,64.28902435302734,17.459556579589844,48.814453125,28.804319381713867,36.97553634643555,40.309879302978516,175.18284606933594,53.2804069519043
2015-06,42.595680236816406,60.213199615478516,16.54437828063965,50.283775329589844,27.815330505371094,37.39012145996094,37.97868728637695,171.62452697753906,52.02971267700195
2015-07,44.71282196044922,55.22614669799805,10.541576385498047,51.187564849853516,29.127044677734375,39.077003479003906,40.17225646972656,175.5014190673828,49.5345344543457
2015-08,39.858985900878906,51.1880989074707,9.545736312866211,47.87864685058594,27.879146575927734,34.01176071166992,37.683624267578125,164.8045654296875,47.49211502075195
2015-09,34.74968719482422,49.85451126098633,8.693435668945312,45.54071807861328,28.692821502685547,33.307220458984375,38.324378967285156,160.5994110107422,46.93033218383789
2015-10,38.383419036865234,57.438873291015625,10.600482940673828,48.33695602416992,30.287660598754883,37.23967742919922,45.580570220947266,174.26007080078125,52.226158142089844
2015-11,37.48103713989258,58.42189025878906,7.367198467254639,50.16510009765625,30.714509963989258,42.243526458740234,47.378440856933594,174.89694213867188,51.99382781982422
2015-12,38.18360137939453,57.551788330078125,6.09730339050293,49.67609786987305,30.959543228149414,37.4919319152832,48.36349868774414,171.8742218017578,49.63161087036133
2016-01,35.75788879394531,55.31911087036133,4.142922878265381,45.063690185546875,30.930715560913086,30.223546981811523,48.02351760864258,163.31724548339844,49.56793212890625
2016-02,35.56901550292969,54.05772018432617,6.87185001373291,42.64010238647461,31.082050323486328,25.030229568481445,44.671993255615234,163.18238830566406,51.495548248291016
2016-03,37.20383834838867,61.80617141723633,9.31257152557373,44.85163116455078,33.69212341308594,27.1715030670166,48.49124526977539,174.15896606445312,53.705711364746094
2016-04,40.11275863647461,66.19868469238281,12.608898162841797,48.22035598754883,32.53733825683594,28.56004524230957,43.78523254394531,174.8453826904297,56.79609680175781
2016-05,41.38188934326172,66.12589263916016,9.979044914245605,49.79972839355469,32.39207458496094,25.685705184936523,46.85880661010742,177.81968688964844,57.675086975097656
2016-06,40.71116256713867,68.6334457397461,10.033080101013184,47.41161346435547,33.17473220825195,27.993942260742188,45.240867614746094,178.4378204345703,60.73316192626953
2016-07,43.934242248535156,67.09488677978516,11.672237396240234,49.187801361083984,31.930587768554688,29.04851722717285,50.11239242553711,184.9456329345703,57.62977600097656
2016-08,42.52128982543945,66.54476928710938,9.267539978027344,51.9020881652832,31.784223556518555,31.622314453125,51.118648529052734,185.1671600341797,56.93852615356445
2016-09,41.83804702758789,68.09293365478516,9.780900955200195,51.202362060546875,31.224912643432617,30.194067001342773,51.24320983886719,185.17794799804688,57.030006408691406
2016-10,37.343326568603516,69.3036880493164,10.069106101989746,53.64252471923828,31.283931732177734,32.42570877075195,53.30715560913086,181.96746826171875,54.44247817993164
2016-11,40.7040901184082,74.54816436767578,13.82475757598877,62.0924186706543,30.023073196411133,35.26601791381836,53.971805572509766,188.67083740234375,57.54819107055664
